title,category,date_text,date_start,date_end,comune,region,region_slug,area,area_slug,url,description,indirizzo,prezzo,lat,lon
SagrafavoriteArrostiland,,6 aprile 2026,2026-04-06,2026-04-06,Mosciano Sant'Angelo,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/arrostiland,,,,,
SagrafavoriteDivinamente Abruzzo,,11 aprile - 20 aprile 2026,2026-04-11,2026-04-20,Montesilvano,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/divinamente-abruzzo,,,,,
FierafavoriteFiera dell’Agricoltura Lanciano,,17 aprile - 19 aprile 2026,2026-04-17,2026-04-19,Lanciano,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/fiera-dell-agricoltura-lanciano,,,,,
SagrafavoriteFestival del carciofo,,24 aprile - 3 maggio 2026,2026-04-24,2026-05-03,Cupello,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/festival-del-carciofo,,,,,
SagrafavoriteVinorum Festival del Vino d&rsquo;Abruzzo,,15 maggio - 17 maggio 2026,2026-05-15,2026-05-17,Pescara,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/vinorum-festival-del-vino-d-abruzzo-2,,,,,
SagrafavoriteFrancavilla Fiori e Fragole,,16 maggio - 17 maggio 2026,2026-05-16,2026-05-17,Francavilla al Mare,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/francavilla-fiori-e-fragole,,,,,
SagrafavoriteAssaggia Tortona,,22 maggio - 24 maggio 2026,2026-05-22,2026-05-24,Tortona,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/assaggia-tortona,,,,,
SagrafavoriteBorgo diVino in Tour Città Sant&rsquo;Angelo,,12 giugno - 14 giugno 2026,2026-06-12,2026-06-14,Città Sant'Angelo,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/borgo-divino-in-tour-citta-sant-angelo,,,,,
SagrafavoriteUn Castello di Birra,,17 giugno - 21 giugno 2026,2026-06-17,2026-06-21,Sant'Omero,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/un-castello-di-birra,,,,,
SagrafavoriteSagra della Pizza Scima,,25 giugno - 27 giugno 2026,2026-06-25,2026-06-27,Casoli,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-della-pizza-scima,,,,,
SagrafavoriteSerata della sfogliatella,,27 giugno 2026,2026-06-27,2026-06-27,Villalfonsina,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/serata-della-sfogliatella,,,,,
SagrafavoriteSagra Pizza Fritta e Arrosticini,,3 luglio - 5 luglio 2026,2026-07-03,2026-07-05,Turrivalignani,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-pizza-fritta-e-arrosticini-mqt9i1j3,,,,,
SagrafavoriteSagra delle Fregnacce,,3 luglio - 6 luglio 2026,2026-07-03,2026-07-06,Bivio Campli,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-delle-fregnacce,,,,,
SagrafavoriteSagra pizza fritta e arrosticini,,4 luglio - 6 luglio 2026,2026-07-04,2026-07-06,Pescarina,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-pizza-fritta-e-arrosticini,,,,,
SagrafavoriteSagra del tartufo,,7 luglio - 13 luglio 2026,2026-07-07,2026-07-13,Campovalano,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-del-tartufo-mobz22q5,,,,,
SagrafavoritePinta tra i dipinti,,8 luglio - 12 luglio 2026,2026-07-08,2026-07-12,Casoli,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/pinta-tra-i-dipinti,,,,,
FestivalfavoriteFestival del Salterello,,9 luglio 2026,2026-07-09,2026-07-09,Giulianova,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/festival-del-salterello,,,,,
SagrafavoriteUn Borgo di Birra,,13 luglio - 19 luglio 2026,2026-07-13,2026-07-19,Civitella del Tronto,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/un-borgo-di-birra,,,,,
SagrafavoriteGin & Tonic Festival Montesilvano,,17 luglio - 19 luglio 2026,2026-07-17,2026-07-19,Montesilvano,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/gin-tonic-festival-montesilvano,,,,,
SagrafavoriteSagra del baccalà,,20 luglio - 26 luglio 2026,2026-07-20,2026-07-26,Sant'Omero,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-del-baccala,,,,,
SagrafavoriteSagra dei cingoli di Cellino,,22 luglio - 26 luglio 2026,2026-07-22,2026-07-26,Cellino Attanasio,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-dei-cingoli-di-cellino,,,,,
SagrafavoriteTacchinando by Night - La sagra del tacchino alla canzanese,,22 luglio - 27 luglio 2026,2026-07-22,2026-07-27,Canzano,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/tacchinando-by-night-la-sagra-del-tacchino-alla-canzanese,,,,,
SagrafavoriteSagra delle pallotte cace e ove,,25 luglio - 27 luglio 2026,2026-07-25,2026-07-27,Santa Maria Imbaro,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-delle-pallotte-cace-e-ove,,,,,
SagrafavoriteSagra di Controguerra,,28 luglio - 2 agosto 2026,2026-07-28,2026-08-02,Controguerra,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-di-controguerra,,,,,
SagrafavoriteMostra dei vini,,1 agosto - 3 agosto 2026,2026-08-01,2026-08-03,Montepagano,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/mostra-dei-vini,,,,,
SagrafavoriteSagra del maccheroncino di Saragolla,,1 agosto - 8 agosto 2026,2026-08-01,2026-08-08,Garrufo,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-del-maccheroncino-di-saragolla,,,,,
SagrafavoriteSagra del pane casereccio,,1 agosto - 3 agosto 2026,2026-08-01,2026-08-03,Penna Sant'Andrea,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-del-pane-casereccio,,,,,
SagrafavoriteFara cipollara,,2 agosto - 3 agosto 2026,2026-08-02,2026-08-03,Fara Filiorum Petri,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/fara-cipollara,,,,,
SagrafavoriteSagra del Timballo,,2 agosto - 3 agosto 2026,2026-08-02,2026-08-03,Tossicia,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-del-timballo,,,,,
SagrafavoriteSagra pipindune e ove,,2 agosto - 5 agosto 2026,2026-08-02,2026-08-05,Collecorvino,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-pipindune-e-ove,,,,,
SagrafavoriteMagna Majella,,3 agosto 2026,2026-08-03,2026-08-03,Serramonacesca,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/magna-majella,,,,,
SagrafavoriteSagra del Prosciutto Abruzzese e Festival del Du'bbotte,,6 agosto - 10 agosto 2026,2026-08-06,2026-08-10,Basciano,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-del-prosciutto-abruzzese-e-festival-del-du-bbotte,,,,,
SagrafavoriteFestival del peperoncino piccante,,8 agosto - 11 agosto 2026,2026-08-08,2026-08-11,Filetto,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/festival-del-peperoncino-piccante,,,,,
SagrafavoritePecorino & Pecorini,,8 agosto - 10 agosto 2026,2026-08-08,2026-08-10,Farindola,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/pecorino-pecorini,,,,,
SagrafavoriteFestival dell'arrosticino,,9 agosto - 10 agosto 2026,2026-08-09,2026-08-10,Villa Celiera,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/festival-dell-arrosticino,,,,,
RievocazionefavoriteLe Ruelle di lu Paese - Saperi e Sapori della Transumanza,,11 agosto - 12 agosto 2026,2026-08-11,2026-08-12,Scerni,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/le-ruelle-di-lu-paese-saperi-e-sapori-della-transumanza,,,,,
SagrafavoriteSagra dei cavatelli,,11 agosto 2026,2026-08-11,2026-08-11,Tufillo,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-dei-cavatelli,,,,,
"SagrafavoriteSagra di Torano Nuovo, paese del gusto",,12 agosto - 17 agosto 2026,2026-08-12,2026-08-17,Torano Nuovo,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-di-torano-nuovo-paese-del-gusto,,,,,
SagrafavoriteBorgo di Gusto,,13 agosto 2026,2026-08-13,2026-08-13,Civitaluparella,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/borgo-di-gusto,,,,,
SagrafavoriteFesta del lì squacciafichere,,13 agosto 2026,2026-08-13,2026-08-13,Atessa,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/festa-del-li-squacciafichere,,,,,
SagrafavoriteSagra della ventricina,,13 agosto - 14 agosto 2026,2026-08-13,2026-08-14,Guilmi,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-della-ventricina,,,,,
SagrafavoriteSagra dell'arrosticino e del formaggio fritto,,16 agosto - 19 agosto 2026,2026-08-16,2026-08-19,Isola del Gran Sasso d'Italia,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-dell-arrosticino-e-del-formaggio-fritto,,,,,
SagrafavoriteSagra della capra alla neretese,,17 agosto - 23 agosto 2026,2026-08-17,2026-08-23,Nereto,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-della-capra-alla-neretese,,,,,
SagrafavoriteSagra delle 'ndrocchie,,17 agosto 2026,2026-08-17,2026-08-17,Cupello,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-delle-ndrocchie,,,,,
SagrafavoriteSagra della porchetta italica,,19 agosto - 24 agosto 2026,2026-08-19,2026-08-24,Campli,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-della-porchetta-italica,,,,,
SagrafavoriteSagra della mortadella alla brace,,20 agosto - 22 agosto 2026,2026-08-20,2026-08-22,Colledoro,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-della-mortadella-alla-brace,,,,,
SagrafavoriteSagra delle fregnacce ed arrosticini,,20 agosto - 23 agosto 2026,2026-08-20,2026-08-23,Cermignano,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-delle-fregnacce-ed-arrosticini,,,,,
Evento culturalefavoriteStrà Festival Degli Artisti Di Strada,,22 agosto - 23 agosto 2026,2026-08-22,2026-08-23,Collecorvino,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/stra-festival-degli-artisti-di-strada,,,,,
SagrafavoriteFestival del peperone dolce di Altino,,22 agosto - 23 agosto 2026,2026-08-22,2026-08-23,Altino,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/festival-del-peperone-dolce-di-altino,,,,,
SagrafavoriteSagra della porchetta lentellesse,,23 agosto 2026,2026-08-23,2026-08-23,Lentella,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-della-porchetta-lentellesse,,,,,
SagrafavoriteSagra dell’uva,,14 settembre 2026,2026-09-14,2026-09-14,Città Sant'Angelo,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/sagra-dell-uva-mqbexphg,,,,,
SagrafavoriteFesta dell’Uva e Vino Montonico,,2 ottobre - 5 ottobre 2026,2026-10-02,2026-10-05,Bisenti,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/festa-dell-uva-e-vino-montonico,,,,,
SagrafavoriteMostra mercato del tartufo,,3 ottobre - 5 ottobre 2026,2026-10-03,2026-10-05,Quadri,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/mostra-mercato-del-tartufo,,,,,
SagrafavoriteNovello al castello – Festa del vino,,7 novembre - 8 novembre 2026,2026-11-07,2026-11-08,Catignano,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/novello-al-castello-festa-del-vino,,,,,
SagrafavoriteNovello e Castagne,,7 novembre - 9 novembre 2026,2026-11-07,2026-11-09,Miglianico,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/novello-e-castagne,,,,,
"SagrafavoriteFesta del Vino Novello, Castagne e Olio nuovo",,8 novembre - 9 novembre 2026,2026-11-08,2026-11-09,Treglio,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/festa-del-vino-novello-castagne-e-olio-nuovo,,,,,
SagrafavoriteProsit Poluthar,,15 novembre 2026,2026-11-15,2026-11-15,Pollutri,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/prosit-poluthar,,,,,
SagrafavoriteFesta dell’olio nuovo,,6 dicembre - 8 dicembre 2026,2026-12-06,2026-12-08,Frisa,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/festa-dell-olio-nuovo,,,,,
Evento culturalefavoriteNotte dei Faugni,,7 dicembre - 8 dicembre 2026,2026-12-07,2026-12-08,Atri,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/notte-dei-faugni,,,,,
SagrafavoriteFesta del Sedano Nero di Torricella Peligna,,11 dicembre - 13 dicembre 2026,2026-12-11,2026-12-13,Torricella Peligna,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/festa-del-sedano-nero-di-torricella-peligna,,,,,
Festa patronalefavoriteFesta delle Farchie,,16 gennaio 2027,2027-01-16,2027-01-16,Fara Filiorum Petri,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/festa-delle-farchie,,,,,
Festa patronalefavoriteFesta di San Biagio,,1 febbraio - 3 febbraio 2027,2027-02-01,2027-02-03,Taranta Peligna,Abruzzo,abruzzo,Costa dei Trabocchi,costa-dei-trabocchi,https://sagr.it/abruzzo/costa-dei-trabocchi/eventi/festa-di-san-biagio,,,,,
SagrafavoriteVinorum - Festival del vino d'Abruzzo,,15 maggio - 17 maggio 2026,2026-05-15,2026-05-17,L'Aquila,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/vinorum-festival-del-vino-d-abruzzo,,,,,
SagrafavoriteFesta della Pizza con Porchetta,,18 giugno - 21 giugno 2026,2026-06-18,2026-06-21,Isola del Gran Sasso,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/festa-della-pizza-con-porchetta,,,,,
SagrafavoriteAbruzzo in Bolla,,20 giugno - 22 giugno 2026,2026-06-20,2026-06-22,L'Aquila,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/abruzzo-in-bolla,,,,,
FestivalfavoriteAbbazie Summer,Festival,28 giugno - 5 agosto 2026,2026-06-28,2026-08-05,Valle delle Abbazie,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/abbazie-summer-festival,,,,,
SagrafavoriteSagra della Pizza Fritta e degli Arrosticini,,3 luglio - 5 luglio 2026,2026-07-03,2026-07-05,Turrivalignani,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/sagra-della-pizza-fritta-e-degli-arrosticini,,,,,
FierafavoriteFiera della pastorizia,,4 luglio - 6 luglio 2026,2026-07-04,2026-07-06,Crognaleto,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/fiera-della-pastorizia,,,,,
SagrafavoriteSagra dell&rsquo;Aglio Rosso di Sulmona,,10 luglio - 11 luglio 2026,2026-07-10,2026-07-11,Prezza,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/sagra-dell-aglio-rosso-di-sulmona-2,,,,,
SagrafavoriteSagra della Frittella Ornanese,,16 luglio - 19 luglio 2026,2026-07-16,2026-07-19,Colledara,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/sagra-della-frittella-ornanese-mq1rreqh,,,,,
SagrafavoriteBirrart a Tagliacozzo,,17 luglio - 19 luglio 2026,2026-07-17,2026-07-19,Tagliacozzo,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/birrart-a-tagliacozzo,,,,,
SagrafavoriteFesta della cococciata,,18 luglio 2026,2026-07-18,2026-07-18,Paterno,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/festa-della-cococciata,,,,,
SagrafavoriteSagra della frittella ornanese,,24 luglio - 27 luglio 2026,2026-07-24,2026-07-27,Ornano Grande,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/sagra-della-frittella-ornanese,,,,,
SagrafavoriteSagra degli orapi,,26 luglio 2026,2026-07-26,2026-07-26,Villetta Barrea,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/sagra-degli-orapi,,,,,
SagrafavoriteVia delle Cantine,,26 luglio 2026,2026-07-26,2026-07-26,Rocca di Botte,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/via-delle-cantine,,,,,
SagrafavoriteSagra del timballo teramano e prodotti tipici agroalimentari,,28 luglio - 3 agosto 2026,2026-07-28,2026-08-03,Campli,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/sagra-del-timballo-teramano-e-prodotti-tipici-agroalimentari,,,,,
Evento culturalefavoriteFestival Internazionale di Mezza Estate,,31 luglio - 29 agosto 2026,2026-07-31,2026-08-29,Tagliacozzo,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/festival-internazionale-di-mezza-estate,,,,,
SagrafavoritePecure allu cutture,,2 agosto 2026,2026-08-02,2026-08-02,Pacentro,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/pecure-allu-cutture,,,,,
SagrafavoriteSagra della Pizza,,6 agosto - 8 agosto 2026,2026-08-06,2026-08-08,Cesaproba,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/sagra-della-pizza,,,,,
SagrafavoriteFesta della Cicerchia,,10 agosto 2026,2026-08-10,2026-08-10,Castelvecchio Calvisio,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/festa-della-cicerchia,,,,,
SagrafavoriteSagra della trippa cappellese,,11 agosto 2026,2026-08-11,2026-08-11,Cappelle dei Marsi,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/sagra-della-trippa-cappellese,,,,,
SagrafavoriteSagra del porcino,,12 agosto - 13 agosto 2026,2026-08-12,2026-08-13,Castelvecchio di Sante Marie,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/sagra-del-porcino,,,,,
SagrafavoriteSagra della Taccozza,,12 agosto 2026,2026-08-12,2026-08-12,Goriano Sicoli,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/sagra-della-taccozza,,,,,
Evento culturalefavoriteFiera delle Forche,,15 agosto - 17 agosto 2026,2026-08-15,2026-08-17,Sant'Eusanio Forconese,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/fiera-delle-forche,,,,,
SagrafavoriteSagra ijju cerijje,,16 agosto - 18 agosto 2026,2026-08-16,2026-08-18,Rocca di Cambio,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/sagra-ijju-cerijje,,,,,
SagrafavoriteSagra della Croccante,,17 agosto 2026,2026-08-17,2026-08-17,Forme,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/sagra-della-croccante,,,,,
SagrafavoriteSagra dello spiedino,,21 agosto - 23 agosto 2026,2026-08-21,2026-08-23,Montereale,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/sagra-dello-spiedino,,,,,
SagrafavoriteSagra del Tartufo,,2 settembre - 14 settembre 2026,2026-09-02,2026-09-14,Campovalano,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/sagra-del-tartufo,,,,,
SagrafavoriteSagra delle lenticchie,,6 settembre - 7 settembre 2026,2026-09-06,2026-09-07,Santo Stefano di Sessanio,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/sagra-delle-lenticchie,,,,,
SagrafavoriteFestival diffuso dell’agroalimentare – Marsicaland,,12 settembre - 14 settembre 2026,2026-09-12,2026-09-14,Avezzano,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/festival-diffuso-dell-agroalimentare-marsicaland,,,,,
SagrafavoriteLungo le Antiche Rue,,17 ottobre - 19 ottobre 2026,2026-10-17,2026-10-19,Civitella Roveto,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/lungo-le-antiche-rue,,,,,
SagrafavoriteFesta della Castagna,,18 ottobre - 19 ottobre 2026,2026-10-18,2026-10-19,Carsoli,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/festa-della-castagna-mqljomyx,,,,,
SagrafavoriteFesta della castagna di Intermesoli,,19 ottobre 2026,2026-10-19,2026-10-19,Intermesoli,Abruzzo,abruzzo,L Aquila e Gran Sasso,l-aquila-e-gran-sasso,https://sagr.it/abruzzo/l-aquila-e-gran-sasso/eventi/festa-della-castagna-di-intermesoli,,,,,
